Unnamed: 0	command	Description	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
31	ifconfig enp2s0	Assign ip,netmask,broadcast addresses as 172.16.25.125, 255.255.255.244, 172.16.25.63 to the interface enp2s0?					
32	ifconfig enp2s0	Make ip = 172.16.25.125, netmask = 255.255.255.224, broadcast address = 172.16.25.63 of enp2s0.					
33	ifconfig lo	Set the maximum transmission unit to lo interface to 1000 packets					
34	ifconfig lo	Assign mtu = 1000 packets for lo interface					
35	ifconfig lo	How to set mtu for lo interface?					
36	ifconfig lxcbr0	Enable promiscous mode for packet receiving to the network interface lxcbr0.					
37	ifconfig lxcbr0	How to allow all packets to pass through the network interface lxcbr0?					
38	ifconfig lxcbr0	Make lxcbr0 to not drop packets that don't belong to itself.					
39	ifconfig lxcbr0	Disable promiscous mode for packet receiving to the network interface lxcbr0.					
40	ifconfig lxcbr0	How to allow only packets that belong to lxcbr0 to pass through it?					
41	ifconfig lxcbr0	Make lxcbr0 to drop packets that don't belong to itself.					
42	ifconfig eth0:0	Add an alias 172.16.25.125 to eth0 interface.					
43	ifconfig eth0:0	How to insert an alias 172.16.25.125 to eth0?.					
44	ifconfig eth0:0	Configure extra network interface to eth0 as 172.16.25.125.					
45	ifconfig eth0:0	Check the alias to eth0 interface.					
46	ifconfig eth0:0	How to check the alias to eth0?.					
47	ifconfig eth0:0	What is the alias of eth0 interface?.					
48	ifconfig eth0:0	Remove an alias to eth0 interface.					
49	ifconfig eth0:0	How to remove an alias to eth0?.					
50	ifconfig eth0:0	Delete an improperly configured alias to eth0 network interface.					
51	ifconfig eth0	Change MAC address of eth0 interface to AA:BB:CC:DD:EE:FF					
52	ifconfig eth0	How to change media access control address of eth0 network interface to AA:BB:CC:DD:EE:FF.					
53	ifconfig eth0	Modify the MAC address of eth0 = Aa:BB:CC:DD:EE:FF.					
54	ifconfig lxcbr0	Enable arp protocol to the network interface lxcbr0.					
55	ifconfig lxcbr0	How to allow ARP protocol for the network interface lxcbr0?					
56	ifconfig lxcbr0	Allow ARP protocol for the interface lxcbr0					
57	ifconfig lxcbr0	Disable arp protocol to the network interface lxcbr0.					
58	ifconfig lxcbr0	How to stop ARP protocol for the network interface lxcbr0?					
59	ifconfig lxcbr0	Make ARP protocol for the interface lxcbr0 disabled.					
60	ifconfig lo	Enable all-multicast mode for packet receiving to the network interface lo.					
61	ifconfig lo	How to ensure all multicast packets to be recieved by the network interface lo?					
62	ifconfig lo	Make lo receive all multicast packets.					
63	ifconfig lo	Disable all-multicast mode for packet receiving by the network interface lo.					
64	ifconfig lo	How to stop multicast packets to be recieved by the network interface lo?					
65	ifconfig lo	Stop lo receive multicast packets.					
66	ifconfig wlan0	Set the interface metric as 1 for wlan0					
67	ifconfig wlan0	How to set interface metric as 1 for wlan0?					
68	ifconfig wlan0	For wlan0 network interface, set the metric as 1.					
69	ifconfig enp2s0	Make destination address of enp2s0 as 255.255.255.224.					
70	ifconfig enp2s0	How do I assign destination address as 255.255.255.224 to interface enp2s0?					
71	ifconfig enp2s0	Change network destination address of enp2s0 = 255.255.255.224.					
72	ifconfig eth0	Add an IPv6 address 2001:0db8:0:f101::1/64 to eth0.					
73	ifconfig eth0	How do I assign an IPv6 address as 2001:0db8:0:f101::1/64 to the interface eth0?					
74	ifconfig eth0	Add IPv6 address to eth0 => 2001:0db8:0:f101::1/64.					
75	ifconfig eth0	Delete the IPv6 address 2001:0db8:0:f101::1/64 on eth0.					
76	ifconfig eth0	How do I remove the IPv6 address 2001:0db8:0:f101::1/64 to the interface eth0?					
77	ifconfig eth0	Delete IPv6 address to eth0 => 2001:0db8:0:f101::1/64.					
78	ifconfig sit0	Add a tunneling address 172.16.254.1 to sit0.					
79	ifconfig sit0	How do I assign a SIT address 172.16.254.1 to the interface sit0?					
80	ifconfig sit0	Add SIT address = 172.16.254.1 to sit0.					
81	ifconfig eth0	Set the interrupt line for eth0 as 15.					
82	ifconfig eth0	How to change the interrupt line to 15 for the eth0 port?					
83	ifconfig eth0	Change the IRQ setting to 15 for eth0.					
84	ifconfig eth1	Set the start address as 172.16.254.1 in i/o space for eth1.					
85	ifconfig eth1	How to set the start address as 172.16.254.1 for eth1?					
86	ifconfig eth1	Make start address of eth1 i/o space = 172.16.254.1.					
87	ifconfig eth1	Set the start address for shared memory as 142.15.245.13 for eth1.					
88	ifconfig eth1	How to set the start address as 142.15.245.13 for shared memory used by eth1?					
89	ifconfig eth1	Allocate a start address 142.15.245.13 for shared memory used by eth1.					
90	ifconfig eth1	Set the physical port to be used by eth1 as 10base2.					
91	ifconfig eth1	How to set the medium type for eth1 as 10base2 ?					
92	ifconfig eth1	Set the medium type for eth1 as thin ethernet.					
93	ifconfig eth1	Set the physical port to be used by eth1 automatically.					
94	ifconfig eth1	How to set the medium type for eth1 automatically?					
95	ifconfig eth1	Auto-detect the medium type for eth1.					
96	ifconfig eth0	Clear broadcast address 123.25.22.1 to eth0.					
97	ifconfig eth0	How to remove the broadcast address 123.25.22.1 for eth0?					
98	ifconfig eth0	Remove broadcast address 123.25.22.1 to eth0 port.					
99	ifconfig eth0	Set pointopoint address 123.25.22.1 to eth0.					
100	ifconfig eth0	How to use point-to-point address 123.25.22.1 to eth0?					
101	ifconfig eth0	Assign pointtopoint address 123.25.22.1 to eth0 port.					
102	ifconfig eth0	Clear pointopoint address 123.25.22.1 to eth0.					
103	ifconfig eth0	How to remove the pointtopoint address 123.25.22.1 for eth0?					
104	ifconfig eth0	Remove pointtopoint address 123.25.22.1 to eth0 port.					
105	ifconfig eth0	Set hardware address ether to eth0.					
106	ifconfig eth0	How to set hardware class ether to eth0?					
107	ifconfig eth0	Assign ether class to eth0 port.					
108	ifconfig eth1	Set the multicast flag for eth1 interface.					
109	ifconfig eth1	How to set multicast flag for the the interface eth1?					
110	ifconfig eth1	Turn on multicast flag for eth1 port.					
111	ifconfig eth1	Set the IP address 192.168.27.100 to the port eth1.					
112	ifconfig eth1	How to assign the IP address 192.168.27.100 to eth1 port?					
113	ifconfig eth1	Assign eth1, the adress - 192.168.27.100 .					
114	ifconfig eth0	Set the length of the transmit queue for eth0 as 5000.					
115	ifconfig eth0	How to set the trasmit queue length 5000 for eth0?					
116	ifconfig eth0	Change transmit queue length = 5000.					
117	ifconfig -s	Give the status of the interface eth0 in short form.					
118	ifconfig -s	Show the status of the interface eth0 in a short list.					
119	ifconfig -s	How to see the status of eth0 in short form?					
120	ifconfig -s	Single command to see details of the interface eth0 in a brief form.					
121	ifconfig -v	Give the status of the interface eth0 in verbose form.					
122	ifconfig -v	Show the status of the interface eth0 in a verbose way.					
123	ifconfig -v	How to see the verbose details of error conditions of eth0?					
124	ifconfig -v	Single command to see details of any error conditions for the interface eth0 in a verbose form.					
125	ifconfig -a	Show all interactive network interface details in a short list. Output should also include interfaces that are down.					
126	ifconfig -a	How do I check link, hardware address, inetaddress, broadcast address etc. of all network interfaces? Output should be presented in a short list.					
127	ifconfig -a	Check the network hardware I have in my computer, even ones that are down in the form of a short list.					
128	mv ananya.py	Copy ananya.py. Rename ananya.py to ananya_new.py.					
129	mv ananya.py	Change name to ananya.py to ananya_new.py and copy the file.					
130	mv ananya.py	How do I create a copy of ananya.py named ananya_new.py?					
131	mv *.c	Move all .c files from current folder to folder backup.					
132	mv *.c	How do I shift all .c files from this folder to a different folder named backup?					
133	mv *.c	Command to move all .c files to backup folder.					
134	mv bak/*	Shift all files from back folder in this directory to this folder.					
135	mv bak/*	How do I move all files from folder bak/ to this folder?					
136	mv bak/*	Move all content of back folder to current directory.					
137	mv bak/*	How do I shift all files and folder from bak directory to this directory?					
138	mv --backup	Move test1.cpp into directory dir1 under the name test2.cpp . Create backup at the destination.					
139	mv --backup	Shift test1.cpp to dir1 folder. Change name to test2.cpp. Make a backup in dir1.					
140	mv --backup	How do I transfer test1.cpp present in this folder to destination folder dir1 and rename it to test2.cpp along with making backup in dir1?					
141	mv --backup	Change location of test1.cpp to dir/ and rename it to test2.cpp and create a backup.					
142	mv --backup=existing	Move test1.cpp into directory dir1 under the name test2.cpp . Create backup at the destination using existing option.					
143	mv --backup=existing	Shift test1.cpp to dir1. Rename it to test2.cpp. Take numbered backup of all files in dir1 if numbered backup already exists, otherwise take simple backup.					
144	mv --backup=existing	How do I transfer test1.cpp to dir1/test2.cpp? Take backup of all files in destination folder using existing backup strategy of the folder?					
145	mv --backup=t	Move test1.cpp into directory dir1 under the name test2.cpp . Create numbered backup at the destination.					
146	mv --backup=t	Shift test1.cpp to destination folder dir1 present in the working directory. Create numbered backup of all files in dir1. Rename the file to test2.cpp.					
147	mv --backup=t	How do I transfer test1.cpp to destination folder dir1, rename it to test2.cpp and create numbered backup?					
148	mv -f	Move file1.doc inside fold1 directory as file2.doc and overwrite without asking.					
149	mv -f	How do I shift file1.doc to folder fold1? Rename file1.doc to file2.doc and overwrite file2.doc if it exists?					
150	mv -f	Transfer file1.doc to fold1/file2.doc and overwrite if file2.doc exists.					
151	mv -i	Move file1.doc inside fold1 directory as file2.doc and do not overwrite without asking.					
152	mv -i	Change location of file1.doc to fold1 in current folder and rename it to file2.doc. If file2.doc exists, prompt before overwriting.					
153	mv -i	How do I rename file1.doc to file2.doc and move it inside fold1? If file2.doc exists in fold1, confirm before replacing?					
154	mv -i	Change location of file1.doc from current directory to fold1. If file2.doc exists in fold1, prompt before replacing. Otherwise change name of file1.doc to file2.doc.					
155	mv -n	Move file1.doc inside fold1 directory as file2.doc and do not overwrite.					
156	mv -n	How do I shift file1.doc to a folder named fold1.doc and rename it to file2.doc? Do not overwrite an existing file of the same name.					
157	mv -n	Shift file1.doc to fold1. Rename to file2.doc without overwriting.How do I change location of file1.doc present in this folder to fold1 also present in  this folder? Rename to file2.doc without replacing an existing file of the same name.					
158	mv -b	Move test1.cpp into directory dir1 under the name test2.cpp . Create backup at the destination with .bk extension.					
159	mv -b	Cut test1.cpp file and paste it in dir1 folder with name test2.cpp . Create backup, if necessary, with .bk appended to the file name.					
160	mv -b	Change the location of file test1.cpp to dir1 with name test2.cpp and create backup with .bk extension.					
161	mv --help	Display help for mv command.					
162	mv --help	Show help menu for mv command.					
163	mv --help	Show usage of mv command.					
164	mv --help	How to use mv command?					
165	mv --help	Which options are available for mv command?					
166	mv --version	Display details about mv command.					
167	mv --version	Show version and author details for mv .					
168	mv --version	Which version of mv am I using?					
169	mv --version	Who are the authors of mv command?					
170	mv file1.txt	Move file1.txt and file2.txt to dest1 directory.					
171	mv file1.txt	Shift file1.txt and file2.txt to dest1 folder.					
172	mv file1.txt	Change the location of files file1.txt and file2.txt to dest1 directory.					
173	mv file1.txt	Move file1.txt, file2.txt and file3.txt to dest1 directory.					
174	mv file1.txt	Cut the files file1.txt , file2.txt and file3.txt and paste it in dest1 folder.					
175	mv file1.txt	Transfer the files file1.txt , file2.txt and file3.txt into dest1 folder.					
176	mv file1.txt	Shift the files file1.txt , file2.txt and file3.txt to dest1 directory.					
177	mv -v	Move file1.txt to dest1 directory and give me a details.					
178	mv -v	Shift file1.txt -> dest1/file1.txt and show the progress.					
179	mv -v	Shift the location of file1.txt from current directory to dest1 directory, which is in current directory. Also give acknowledgement of operations.					
180	mv -v	Showing the progress of operation, transfer the file file1.txt to dest1 directory.					
181	mv -u	Move file1.txt to dest1 directory if it is newer than the file in dest1 or is non-existant.					
182	mv -u	If file1.txt in dest1 is older than file1.txt in pwd , file1.txt -> dest1/file1.txt .					
183	mv -u	Shift the file file1.txt to dest1 directory if it is newer.					
184	mv -Z	Move file1.txt to dest1 directory and change security context to default.					
185	mv -Z	Shift file1.txt -> dest1/file1.txt and update the SELinux security to default.					
186	mv -Z	Shift the location of file1.txt to dest1 folder and set SELinux security to default.					
187	mv --strip-trailing-slashes	Move unknown// to dest1 directory after removing trailing slashes.					
188	mv --strip-trailing-slashes	Shift unknown// to dest1 after removing following slashes from the unknown// .					
189	mv --strip-trailing-slashes	Change the location of unknown// to dest1/unknown// after removing trailing slashes from the source.					
190	mv -t	Move the flv to the directory youtube .					
191	mv -t	Change the location of flv to youtube/flv .					
192	mv -t	Move flv -> youtube/flv					
193	mv -t	Shift the file flv into youtube directory.					
194	mv -T	Rename the file ogg to flv .					
195	mv -T	Change the name of ogg to file flv .					
196	mv -T	Treat flv as file. Change the file ogg to flv .					
197	mv -bv	Move the file duplicate.txt to directory original and create backup. Show me the details of work done.					
198	mv -bv	Move duplicate.txt -> original/duplicate.txt and create backup. Show the which were moved.					
199	mv -bv	Shift the file duplicate.txt into original directory. Create backup, if required, and show the tasks performed.					
200	mv -v	Move the file duplicate.txt to directory original and do not create backup. Show me the details of work done.					
201	mv -v	Move duplicate.txt -> original/duplicate.txt and show the operations performed. Do not create backup.					
202	mv -v	Without creating backup move the file duplicate.txt inside original directory and display the tasks performed.					
203	mv -v	Move the file duplicate.txt to directory original and create numbered backup. Show me the details of work done.					
204	mv -v	Creating numbered backup, move duplicate.txt file into original directory and show the tasks performed.					
205	mv -v	Shift duplicate.txt -> original/duplicate.txt creating numbered backups and give the details of operations performed.					
206	mv -v	Move the file duplicate.txt to directory original and create existing backup. Show me the details of work done.					
207	mv -v	Use the existing form of backup and move duplicate.txt to original .					
208	mv -v	Shift ./duplicate.txt -> ./original/duplicate.txt and keep the backup in existing format.					
209	mv -buv	Move the file duplicate.txt to directory original, if it is newer than the one in destination, and create backup. Show me the details of work done.					
210	mv -buv	If the file in destination is older then, duplicate.txt -> original/duplicate.txt and make the backup of old duplicate.txt giving the acknowledgement of tasks done.					
211	mv -buv	Shift the file duplicate.txt into original directory, if the destination file is older and make backup of the old file. Show the tasks performed.					
212	mv -uv	Move the file duplicate.txt to directory original, if the destination has older file, and do not create backup. Show me the details of work done.					
213	mv -uv	Without creating backup, move the file duplicate.txt to original folder and give the account of operations done. Perform this only when destination has older version of file.					
214	mv -uv	Move duplicate.txt -> original/duplicate.txt , if the destination has older file, without maintaining a backup and display the tasks performed.					
215	mv -uv	Move the file duplicate.txt to directory original, if the destination has older file, and create numbered backup. Show me the details of work done.					
216	mv -uv	Creating numbered backups, move duplicate.txt to original folder, if the destination has an older one and display the tasks done.					
217	mv -uv	Move duplicate.txt -> original/duplicate.txt and create backup by numbering files. Perform the operations only if duplicate.txt is newer than the duplicate.txt in original directory or is absent. Give the summary of tasks performed.					
218	mv -uv	Move the file duplicate.txt to directory original, if the destination has older file, and create existing backup. Show me the details of work done.					
219	mv -uv	If the destination file is older then, shift the file duplicate.txt to original folder and make existing style of backups. Perform tasks verbosely.					
220	mv -uv	Shift duplicate.txt -> original/duplicate.txt if the source file is newer and use existing backup format. Verbosely do the tasks.					
221	mv -nv	Move the file undo.txt to redo directory and do not overwrite the existing file. Give me the details of operation.					
222	mv -nv	Shift the file undo.txt to redo directory without replacing any file in destination. Show the tasks performed.					
223	mv -nv	Shift undo.txt -> redo/undo.txt and do not replace any file. Display the operations performed.					
224	mv -nZ	Move bleach.txt file to anime directory. Do not overwrite existing files and set SELinux security context to default settings.					
225	mv -nZ	Move bleach.txt -> anime/bleach.txt and do not overwrite the destination files. Set SELinux security to default.					
226	mv -nZ	Shift bleach.txt into anime folder, if no other file of same name is present in destination. Configure SELinux security to default value.					
227	mv -iZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default.					
228	mv -iZ	Shift bleach.txt -> anime/bleach.txt and ask to overwrite the destination files. Set SELinux security to default.					
229	mv -iZ	Shift bleach.txt into anime folder, if other file of same name is present in destination ask for overwrite permission. Configure SELinux security to default value.					
230	mv -fZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default.					
231	mv -fZ	Move bleach.txt -> anime/bleach.txt and set SELinux security context to default. Overwrite, if required.					
232	mv -fZ	Shift bleach.txt into anime folder, if other file of same name is present in destination then overwrite. Configure SELinux security to default value.					
233	mv -iv	Move the file bleach.txt to anime directory. Ask before overwriting files and show me the operations performed.					
234	mv -iv	Shift bleach.txt -> anime/bleach.txt and ask before overwriting. Display the tasks executed.					
235	mv -iv	Change the location of bleach.txt to anime/bleach.txt and ask for permission to overwrite files in destination. Show operations performed.					
236	mv -fv	Move the file naruto.txt to anime directory. Overwrite the files and show the operations performed.					
237	mv -fv	Move naruto.txt -> anime/naruto.txt overwriting the existing file and showing the completed tasks.					
238	mv -fv	Shift the file naruto.txt into anime and overwrite any existing file with same name. Display the progress.					
239	mv -Z	Move bleach.txt file to anime directory. Set SELinux security context to default settings. Create simple backup.					
240	mv -Z	Shift bleach.txt -> anime/bleach.txt setting SELinux security to default and creating backup.					
241	mv -Z	Change location of bleach.txt to anime and set SELinux security context to default. Create backup at destination.					
242	mv -iZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create simple backup.					
243	mv -iZ	Move bleach.txt -> anime/bleach.txt and ask to overwrite the destination files. Set SELinux security to default. Make backup of destination file.					
244	mv -iZ	Shift bleach.txt into anime folder, if other file of same name is present in destination ask for overwrite permission. Configure SELinux security to default value. Make backup.					
245	mv -fZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create simple backup.					
246	mv -fZ	Move naruto.txt -> anime/bleach.txt overwriting the existing file. Take backup of destination files being overwritten.					
247	mv -fZ	Shift the file bleach.txt into anime and overwrite any existing file with same name. Create backup of existing files in destination.					
248	mv -iv	Move the file bleach.txt to anime directory. Ask before overwriting files and show me the operations performed. Create simple backup.					
249	mv -iv	Shift bleach.txt -> anime/bleach.txt and ask before overwriting. Display the tasks executed. Make backups.					
250	mv -iv	Change the location of bleach.txt to anime/bleach.txt and ask for permission to overwrite files in destination. Show operations performed. Create backup of files being overwritten.					
251	mv -fv	Move the file naruto.txt to anime directory. Overwrite the files and show the operations performed. Create simple backup.					
252	mv -fv	Move naruto.txt -> anime/naruto.txt overwriting the existing file and showing the completed tasks. Make simple backups.					
253	mv -fv	Shift the file naruto.txt into anime and overwrite any existing file with same name. Display the progress. Save the files before overwriting.					
254	mv -Z	Move undo//// to redo directory after stripping trailing slashes from source and set SElinux security context to default.					
255	mv -Z	Shift undo//// into redo/ directory after the trailing slashes have been stripped and change the SELinux security to default.					
256	mv -Z	Change the location of undo//// to redo/ after removing trailing slashes from source name. Set Security Enhanced Linux context to default.					
257	mv -iZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create existing backup.					
258	mv -iZ	Move bleach.txt -> anime/bleach.txt and ask before over-writing. Use existing style of backup and set SEL security context to default.					
259	mv -iZ	Change the location of bleach.txt to anime/bleach.txt and use the existing style of backup. Ask before over-writing and make SEL security context to its recommended value.					
260	mv -fZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create existing backup.					
261	mv -fZ	Shift bleach.txt -> anime/bleach.txt and set SELinux security context to default. Overwrite, if required. Make existing backup format.					
262	mv -fZ	Shift bleach.txt into anime folder, if other file of same name is present in destination then overwrite. Configure SELinux security to default value. Create backup of existing style.					
263	mv -iv	Move the file bleach.txt to anime directory. Ask before overwriting files and show me the operations performed. Create existing backup.					
264	mv -iv	bleach.txt -> anime/bleach.txt and ask before overwriting. Display the tasks executed. Make backups of existing type.					
265	mv -iv	Change the location of bleach.txt to anime/bleach.txt and ask for permission to overwrite files in destination. Show operations performed. Create backup of files being overwritten in the present style.					
266	mv -fv	Move the file naruto.txt to anime directory. Overwrite the files and show the operations performed. Create existing backup.					
267	mv -fv	Move naruto.txt -> anime/naruto.txt overwriting the existing file and showing the completed tasks. Make backups of already present style.					
268	mv -fv	Shift the file naruto.txt into anime and overwrite any existing file with same name. Display the progress. Save the files before overwriting with name in the same format as present previously.					
269	mv -v	Move undo/// into redo/ after removing trailing slashes and show the tasks performed.					
270	mv -v	After removing trailing slashes, shift undo/// into redo and display the jobs completed.					
271	mv -v	Remove trailing slashes from source name. Move undo/// into redo. Give the details of accomplished jobs.					
272	mv -iZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create numbered backup.					
273	mv -iZ	Shift bleach.txt -> anime/bleach.txt and ask before over-writing. Use numbered style of backup and set SEL security context to default.					
274	mv -iZ	Change the location of bleach.txt to anime/bleach.txt and use the numeric format of backup. Ask before over-writing and make SEL security context to its recommended value.					
275	mv -fZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create numbered backup.					
276	mv -fZ	Move bleach.txt -> anime/bleach.txt and set SELinux security context to default. Overwrite, if required. Make numeric backup format.					
277	mv -fZ	Shift bleach.txt into anime folder, if other file of same name is present in destination then over-write. Configure SELinux security to default value. Create backup of numeric style.					
278	mv -iv	Move the file bleach.txt to anime directory. Ask before overwriting files and show me the operations performed. Create numbered backup.					
279	mv -iv	Shift bleach.txt -> anime/bleach.txt and ask before overwriting. Display the tasks executed. Make numbered backups.					
280	mv -iv	Change the location of bleach.txt to anime/bleach.txt and ask for permission to overwrite files in destination. Show operations performed. Create backup of files being overwritten in the number style.					
281	mv -fv	Move the file naruto.txt to anime directory. Overwrite the files and show the operations performed. Create numbered backup.					
282	mv -fv	naruto.txt -> anime/naruto.txt overwriting the existing file and showing the completed tasks. Make backups in numeric style.					
283	mv -fv	Shift the file naruto.txt into anime and overwrite any existing file with same name. Display the progress. Save the files before overwriting with name in the numbered format.					
284	mv -buvZS	Move the file code.txt to anime directory after stripping any trailing slashes from source code.txt and show the details of operations performed. Use .bk extension for creating backup files. Set SELinux security context to default.					
285	mv -buvZS	Showing the progress, move code.txt into anime folder after removing any trailing slashes and create backup using .bk as the extension. Move the source file only if the destination one has older modification or change time and set SELinux security context to normal.					
286	mv -buvZS	Shift code.txt into anime directory, only if source has newer file, after removing following slashes from source. Set SELinux security to default value and make backups using .bk extension.					
287	mv -iZS	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create backup with suffix .bk .					
288	mv -iZS	Move bleach.txt -> anime/bleach.txt and ask before over-writing. Append .bk to the names of backup files and set SEL security context to default.					
289	mv -iZS	Change the location of bleach.txt to anime/bleach.txt and use .bk at the end of backup files. Ask before over-writing and make SEL security context to its recommended value.					
290	mv -fZS	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create backup with suffix .bk .					
291	mv -fZS	Shift bleach.txt -> anime/bleach.txt and set SELinux security context to default. Overwrite, if required. Make backups with .bk appended to backup files.					
292	mv -fZS	Shift bleach.txt into anime folder, if other file of same name is present in destination then over-write. Configure SELinux security to default value. Create backup with .bk extension.					
293	mv -ivS	Move the file bleach.txt to anime directory. Ask before overwriting files and show me the operations performed. Create backup with suffix .bk.					
294	mv -ivS	Move bleach.txt -> anime/bleach.txt and ask before overwriting. Display the tasks executed. Make backups whose names end with .bk .					
295	mv -ivS	Change the location of bleach.txt to anime/bleach.txt and ask for permission to overwrite files in destination. Show operations performed. Create backup of files being overwritten with the original names appended with .bk .					
296	mv -fvS	Move the file naruto.txt to anime directory. Overwrite the files and show the operations performed. Create backup with suffix .bk .					
297	mv -fvS	Shift naruto.txt -> anime/naruto.txt overwriting the existing file and showing the completed tasks. Make backups with names ending in .bk .					
298	mv -fvS	Shift the file naruto.txt into anime and overwrite any existing file with same name. Display the progress. Save the files before overwriting with name appended with .bk .					
299	mv -bvS	Move the file code.txt to directoy anime and create backup with extension, .bk . Show the operations performed.					
300	mv -bvS	duplicate.txt -> original/duplicate.txt and create backup with .bk extension. Show the which were moved.					
301	mv -bvS	Shift the file duplicate.txt into original directory. Create backup with .bk extension, if required, and show the tasks performed.					
302	mv -buvS	Move the file code.txt to anime directory, only if the source code.txt file is newer, and show the details of operations performed. Use .bk extension for creating backup files.					
303	mv -buvS	Showing the progress, move code.txt into anime folder after removing any trailing slashes and create backup using .bk as the extension. Move the source file only if the destination one has older modification or change time.					
304	mv -buvS	Shift code.txt into anime directory, only if source has newer file, after removing following slashes from source. Make backups using .bk extension.					
305	mv -nvZ	Move bleach.txt file to anime directory. Do not overwrite existing files and set SELinux security context to default settings. Show the operations performed.					
306	mv -nvZ	Shift bleach.txt into anime directory and do not overwrite existing files. Make SEL security context to default and show the tasks completed.					
307	mv -nvZ	Move bleach.txt -> anime/bleach.txt and do not over-write. Set SEL security context to default and show the jobs completed.					
308	mv -ivZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Show the operations performed.					
309	mv -ivZ	Shift bleach.txt -> anime/bleach.txt showing progress. Ask before overwriting. Set SEL security context to default value.					
310	mv -ivZ	Shift bleach.txt into anime folder. Show the progress of process and ask before overwriting. Set SEL security context to default.					
311	mv -fvZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Show the operations performed.					
312	mv -fvZ	Shift bleach.txt into anime folder. Overwrite files without asking. Set SEL security to default. Show task progress.					
313	mv -fvZ	Overwriting files, if needed, move bleach.txt to anime and show the tasks completed. Configure SEL security context to defaukt value.					
314	mv -fvZS	Move bleach/ to anime directory after removing any trailing slashes from source bleach/ . Overwrite files and set SELinux security context to default. Create backup with suffix .bk . Show the operations performed.					
315	mv -fvZS	Move bleach/ -> anime/bleach . Strip trailing slashes from source. Overwrite files, if needed and set SEL security context to default. Create backup with .bk extension.					
316	mv -fvZS	Shift bleach/ into anime after removing following slashes from source name. Set SEL security to default and overwrite, if needed. Create backup with name ending with .bk .					
317	mv -ivZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create simple backup. Show the operations performed.					
318	mv -ivZ	Shift bleach.txt -> anime/bleach.txt showing progress. Ask before overwriting and create backup of overwritten files. Set SEL security context to default value.					
